Timestamp,kW orig,hour,yyyymm,kW
2024-08-19 07:00:00,1.2313,7,2024-08,1.2313
2024-08-19 08:00:00,1.5223,8,2024-08,1.5223
2024-08-19 09:00:00,1.3645,9,2024-08,1.3645
2024-08-19 10:00:00,2.2401,10,2024-08,2.2401
2024-08-19 11:00:00,1.239,11,2024-08,1.239
2024-08-19 12:00:00,1.1769,12,2024-08,1.4261
2024-08-19 13:00:00,1.1931,13,2024-08,0.8559
2024-08-19 14:00:00,0.4316,14,2024-08,0.504
2024-08-19 15:00:00,0.4611,15,2024-08,0.4544
2024-08-19 16:00:00,0.9862,16,2024-08,0.9862
2024-08-19 17:00:00,1.0602,17,2024-08,1.0602
2024-08-19 18:00:00,1.0244,18,2024-08,1.0244
2024-08-19 19:00:00,0.857,19,2024-08,0.857
2024-08-19 20:00:00,0.9172,20,2024-08,0.9172
2024-08-19 21:00:00,1.0159,21,2024-08,1.0159
2024-08-19 22:00:00,0.7687,22,2024-08,0.7687
2024-08-19 23:00:00,0.9055,23,2024-08,0.9055
2024-08-20 00:00:00,1.6138,0,2024-08,1.6138
2024-08-20 01:00:00,1.3343,1,2024-08,1.3343
2024-08-20 02:00:00,1.1211,2,2024-08,1.1211
2024-08-20 03:00:00,0.872,3,2024-08,0.872
2024-08-20 04:00:00,1.6519,4,2024-08,1.6519
2024-08-20 05:00:00,2.0516,5,2024-08,2.0516
2024-08-20 06:00:00,2.4526,6,2024-08,2.4526
2024-08-20 07:00:00,2.4257,7,2024-08,2.4257
