Timestamp,demand,season,period,period_type,solar_efficiency,month,hour,day,yyyymm,ymd
2024-08-11 09:00:00,1.0338,summer,summer off peak,off peak,1.0,8,9,11,2024-08,2024-08-11
2024-08-11 10:00:00,2.065599,summer,summer off peak,off peak,1.0,8,10,11,2024-08,2024-08-11
2024-08-11 11:00:00,1.1349,summer,summer off peak,off peak,1.0,8,11,11,2024-08,2024-08-11
2024-08-11 12:00:00,8.5376,summer,summer off peak,off peak,1.0,8,12,11,2024-08,2024-08-11
2024-08-11 13:00:00,8.942,summer,summer off peak,off peak,1.0,8,13,11,2024-08,2024-08-11
2024-08-11 14:00:00,1.2959,summer,summer off peak,off peak,1.0,8,14,11,2024-08,2024-08-11
2024-08-11 15:00:00,0.3932,summer,summer part peak,part peak,1.0,8,15,11,2024-08,2024-08-11
2024-08-11 16:00:00,1.1537,summer,summer peak,peak,1.0,8,16,11,2024-08,2024-08-11
2024-08-11 17:00:00,0.9807,summer,summer peak,peak,1.0,8,17,11,2024-08,2024-08-11
2024-08-11 18:00:00,0.6386,summer,summer peak,peak,1.0,8,18,11,2024-08,2024-08-11
2024-08-11 19:00:00,0.5598,summer,summer peak,peak,1.0,8,19,11,2024-08,2024-08-11
2024-08-11 20:00:00,0.9998,summer,summer peak,peak,1.0,8,20,11,2024-08,2024-08-11
